# The Department of Energy (DOE) test procedure has been changed significantly. As a result, Energy Factor (EF) ratings are being replaced with Uniform Energy Factor (UEF) ratings. Currently this directory lists only models that were available before July 13, 2015, and their EF ratings.
# Models that have been introduced to the market on or after July 13, 2015 are required to use the revised test procedure and have a UEF rating. Those new models are viewable on a separate page here .
# Process an AHRI Residential Water Heater directory file
# https://www.ahridirectory.org/ahridirectory/pages/rwh/RWHDirectory.pdf
# downloaded 2017-05-11 08:47:38
AHRI Reference Number,Model Status,Trade/Brand Name,Manufacturer,Model Number,Energy Source,Heater Type,Usage Bin,First Hour Rating,MaxGPM,Uniform Energy  Factor,Nominal  Capacity (gal),Rated Storage Volume,Input (MBtuh/kW),Recovery Efficiency (%),Sold In
10082535,Active,RUUD,"RHEEM SALES COMPANY, INC.",M4-50FN1,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
10082536,Active,RUUD,"RHEEM SALES COMPANY, INC.",PROG50-38U RU60 EC1,Natural Gas,Storage,High Usage,86,,0.63,50,48,38,83,USA
9965482,Active,HTP,"HTP, INC.",EVG080******,Electric Resistance - Grid-enabled,Storage,High Usage,86,,0.93,80,78,4.5,98,USA; Canada
10027657,Active,HTP,"HTP, INC.",EVG-100******,Electric Resistance - Grid-enabled,Storage,High Usage,86,,0.93,100,96,4.5,98,USA; Canada
10021154,Active,WESTINGHOUSE,"HTP, INC.",WEG080******,Electric Resistance - Grid-enabled,Storage,High Usage,86,,0.93,80,78,4.5,98,USA; Canada
10082537,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PROG50-38U RH62 EC1,Natural Gas,Storage,High Usage,84,,0.64,50,48,38,79,USA
10082538,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PRO+G50-38U RH62 EC1,Natural Gas,Storage,High Usage,84,,0.64,50,48,38,79,USA
10082539,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG50T12HN38U1,Natural Gas,Storage,High Usage,84,,0.64,50,48,38,79,USA
10082540,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG50T09HN38U1,Natural Gas,Storage,High Usage,84,,0.64,50,48,38,79,USA
10082541,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG50T06HN38U1,Natural Gas,Storage,High Usage,84,,0.64,50,48,38,79,USA
10082542,Active,RUUD,"RHEEM SALES COMPANY, INC.",PRO+G50-38U RU62 EC1,Natural Gas,Storage,High Usage,84,,0.64,50,48,38,79,USA
10082543,Active,RUUD,"RHEEM SALES COMPANY, INC.",PROG50-38U RU62 EC1,Natural Gas,Storage,High Usage,84,,0.64,50,48,38,79,USA
9959478,Active,MARATHON,"RHEEM SALES COMPANY, INC.",MRG105245,Electric Resistance - Grid-enabled,Storage,High Usage,83,,0.9,100,101,4.5,98,USA
9959479,Active,MARATHON,"RHEEM SALES COMPANY, INC.",MRG105238,Electric Resistance - Grid-enabled,Storage,High Usage,83,,0.9,100,101,3.8,98,USA
10068231,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,G12-UFDT5040NV 100,Natural Gas,Storage,High Usage,82,,0.69,50,48,40,73,USA
9989879,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,GUF 50 100,Natural Gas,Storage,High Usage,82,,0.69,50,48,40,73,USA
9989881,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,GUF62 50T40 100,Natural Gas,Storage,High Usage,82,,0.69,50,48,40,73,USA
9989882,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 50 UNBFT* 100,Natural Gas,Storage,High Usage,82,,0.69,50,48,40,73,USA
9989884,Active,KENMORE,SEARS BRANDS MANAGEMENT CORPORATION,153.55651,Natural Gas,Storage,High Usage,82,,0.69,50,48,40,73,USA
9989880,Active,STATE,STATE WATER HEATERS,GS6 50 BFUT* 100,Natural Gas,Storage,High Usage,82,,0.69,50,48,40,73,USA
9989883,Active,WHIRLPOOL,U.S. CRAFTSMASTER,50T12-40UDNG 100,Natural Gas,Storage,High Usage,82,,0.69,50,48,40,73,USA
9963146,Active,BRADFORD WHITE,BRADFORD WHITE CORP.,URG2D50S*N,Natural Gas,Storage,High Usage,76,,0.67,50,48,40,78,USA
9952298,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XE65T10HD50U0,Heat Pump with Tank,Storage,High Usage,75,,3.8,65,59,5,420,USA
9952299,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",10E65-HP4D,Heat Pump with Tank,Storage,High Usage,75,,3.8,65,59,5,420,USA
9952300,Active,RUUD,"RHEEM SALES COMPANY, INC.",PROUH65 T2 RU350 D,Heat Pump with Tank,Storage,High Usage,75,,3.8,65,59,5,420,USA
9084786,Active,BRADFORD WHITE;JETGLAS,BRADFORD WHITE CORP.,RG2PV50S*N,Natural Gas,Storage,High Usage,75,,0.7,50,48,40,78,USA; Canada
9084787,Active,BRADFORD WHITE;JETGLAS,BRADFORD WHITE CORP.,RG2PV50S*X,Propane Gas,Storage,High Usage,75,,0.7,50,48,40,78,USA; Canada
9952297,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PROPH65 T2 RH350 D,Heat Pump with Tank,Storage,High Usage,75,,3.8,65,59,5,420,USA; Canada
10091902,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PROG40-38U RH62 EC1,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091903,Active,RHEEM,"RHEEM SALES COMPANY, INC.",24X40FN1,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091904,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PRO+G40-38U RH62 EC1,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091905,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG40T12EN38U0,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091906,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG40T09EN38U0,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091907,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG40T06EN38U0,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091908,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",9G40-38FN4,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091909,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",12G40-38FN4,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091910,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",6G40-38FN4,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091911,Active,RUUD,"RHEEM SALES COMPANY, INC.",PRO+G40-38U RU62 EC1,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091912,Active,RUUD,"RHEEM SALES COMPANY, INC.",M4-40FN1,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091913,Active,RUUD,"RHEEM SALES COMPANY, INC.",PROG40-38U RU62 EC1,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
10091914,Active,SURE COMFORT,"RHEEM SALES COMPANY, INC.",SCG40T03UN38U0,Natural Gas,Storage,Medium Usage,71,,0.58,40,38,38,76,USA
9084785,Active,BRADFORD WHITE;JETGLAS,BRADFORD WHITE CORP.,RG2PV40S*N,Natural Gas,Storage,Medium Usage,70,,0.67,40,38,40,77,USA; Canada
9084788,Active,BRADFORD WHITE;JETGLAS,BRADFORD WHITE CORP.,RG2PV40S*X,Propane Gas,Storage,Medium Usage,70,,0.7,40,38,40,77,USA; Canada
9952294,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",10E50-HP4D,Heat Pump with Tank,Storage,Medium Usage,67,,3.6,50,45,5,436,USA
9952295,Active,RUUD,"RHEEM SALES COMPANY, INC.",PROUH50 T2 RU350 D,Heat Pump with Tank,Storage,Medium Usage,67,,3.6,50,45,5,436,USA
9952296,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XE50T10HD50U0,Heat Pump with Tank,Storage,Medium Usage,67,,3.6,50,45,5,436,USA
10068230,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,G12-UFDT4040NV 100,Natural Gas,Storage,Medium Usage,67,,0.65,40,38,40,73,USA
9989873,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,GUF 40 100,Natural Gas,Storage,Medium Usage,67,,0.65,40,38,40,73,USA
9989875,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,GUF62 40T40 100,Natural Gas,Storage,Medium Usage,67,,0.65,40,38,40,73,USA
9989876,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 40 UNBFT* 100,Natural Gas,Storage,Medium Usage,67,,0.65,40,38,40,73,USA
9989878,Active,KENMORE,SEARS BRANDS MANAGEMENT CORPORATION,153.55641,Natural Gas,Storage,Medium Usage,67,,0.65,40,38,40,73,USA
9989874,Active,STATE,STATE WATER HEATERS,GS6 40 BFUT* 100,Natural Gas,Storage,Medium Usage,67,,0.65,40,38,40,73,USA
9989877,Active,WHIRLPOOL,U.S. CRAFTSMASTER,40T12-40UDNG 100,Natural Gas,Storage,Medium Usage,67,,0.65,40,38,40,73,USA
9755531,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,MHDV62 50T40 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,67,,0.59,50,47,40,77,USA; Canada
9755529,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 50 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,67,,0.59,50,47,40,77,USA; Canada
9755530,Active,LOCHINVAR,"LOCHINVAR, LLC",MGN050 40 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,67,,0.59,50,47,40,77,USA; Canada
9755526,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,FMDV 50 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,67,,0.59,50,47,40,77,USA; Canada
9755527,Active,STATE,STATE WATER HEATERS,GS6 50 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,67,,0.59,50,47,40,77,USA; Canada
9755528,Active,STATE,STATE WATER HEATERS,SCI 50 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,67,,0.59,50,47,40,77,USA; Canada
9952290,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PROPH50 T2 RH350 D,Heat Pump with Tank,Storage,Medium Usage,67,,3.6,50,45,5,436,USA; Canada
8935520,Active,AMERICAN STANDARD,CALENTADORES DE AMERICA SA DE CV,HPWH50G-AS,Heat Pump with Tank,Storage,Medium Usage,66,,2.8,50,49,4.5,100,USA
8735944,Active,MDV;MIDEA,"GD MIDEA HEATING & VENTILATING EQUIPMENT CO., LTD.",RSJ-15/190RDN3-D,Heat Pump with Tank,Storage,Medium Usage,66,,2.8,50,49,4.5,100,USA
9956578,Active,HTP,"HTP, INC.",HPWH50H,Heat Pump with Tank,Storage,Medium Usage,66,,2.8,50,49,4.5,100,USA
10146839,Active,WESTINGHOUSE,"HTP, INC.",HPWH50W,Heat Pump with Tank,Storage,Medium Usage,66,,2.8,50,49,4.5,100,USA
10264953,Active,GIANT,"GIANT FACTORIES, INC.",HPWH50G,Heat Pump with Tank,Storage,Medium Usage,66,,2.8,50,49,4.5,100,USA
9963145,Active,BRADFORD WHITE,BRADFORD WHITE CORP.,URG2D40S*N,Natural Gas,Storage,Medium Usage,62,,0.66,40,38,38,78,USA
9034139,Active,BRADFORD WHITE,BRADFORD WHITE CORP.,RE250L*-****,Electric Resistance,Storage,Medium Usage,61,,0.93,47,43,4.5,98,USA; Canada
8735964,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,"(E,P)NLB-50",Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
10205589,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,E6-50L45DVB****,Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
8736004,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,"E(6,10)N-50LB***",Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
8736007,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6-50-EOLBS***,Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
8736008,Active,LOCHINVAR,"LOCHINVAR, LLC",KSA050KDB***,Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
8736002,Active,STATE,STATE WATER HEATERS,EN6-50-DOLBS***,Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
8736003,Active,STATE,STATE WATER HEATERS,ESX-50-DOLBS***,Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
8736005,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,NE2F50LBD***,Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
8736006,Active,WHIRLPOOL,U.S. CRAFTSMASTER,E48LB6-45***,Electric Resistance,Storage,Medium Usage,60,,0.93,48,45,4.5,98,USA
9755518,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,MHDV62 30T30 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
9755516,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 30 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
9755517,Active,LOCHINVAR,"LOCHINVAR, LLC",MGN030 30 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
9755513,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,FMDV 30 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
10203422,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,G6-DMH3030NV 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
9755514,Active,STATE,STATE WATER HEATERS,GS6 30 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
9755515,Active,STATE,STATE WATER HEATERS,SCI 30 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
10203579,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,MHDV2F3030T 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,60,,0.63,30,29,30,77,USA; Canada
9755525,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,MHDV62 40T32 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
9755523,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6 40 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
9755524,Active,LOCHINVAR,"LOCHINVAR, LLC",MGN040 32 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
9755520,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,FMDV 40 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
10203580,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,G6-DMH4032NV 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
9755521,Active,STATE,STATE WATER HEATERS,GS6 40 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
9755522,Active,STATE,STATE WATER HEATERS,SCI 40 MDV* 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
10203581,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,MHDV2F4032T 250,Both Natural Gas and Propane Gas,Storage,Medium Usage,57,,0.62,40,39,32,77,USA; Canada
10055344,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,"E(6,10)N-50L***",Electric Resistance,Storage,Medium Usage,54,,0.92,51,48,4.5,98,USA; Canada
10055345,Active,LOCHINVAR,"LOCHINVAR, LLC",KSA050KD,Electric Resistance,Storage,Medium Usage,54,,0.92,51,48,4.5,98,USA; Canada
10055346,Active,RELIANCE,RELIANCE WATER HEATER COMPANY,6-50-EOLS***,Electric Resistance,Storage,Medium Usage,54,,0.92,51,48,4.5,98,USA; Canada
10055342,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,"(E,P)NL-50",Electric Resistance,Storage,Medium Usage,54,,0.92,51,48,4.5,98,USA; Canada
10205590,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,E6-50L45DV****,Electric Resistance,Storage,Medium Usage,54,,0.92,51,48,4.5,98,USA; Canada
10055343,Active,STATE,STATE WATER HEATERS,"E(N,S)(6,X)-50-DOLS***",Electric Resistance,Storage,Medium Usage,54,,0.92,51,48,4.5,98,USA; Canada
10055347,Active,U.S. CRAFTSMASTER,U.S. CRAFTSMASTER,NE2F50LD***,Electric Resistance,Storage,Medium Usage,54,,0.92,51,48,4.5,98,USA; Canada
9854413,Active,AMERICAN,AMERICAN WATER HEATER COMPANY,"E(6,10)N-36L***",Electric Resistance,Storage,Medium Usage,51,,0.92,36,33,4.5,98,Outside USA & Canada
9854411,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,"(E,P)NL-36",Electric Resistance,Storage,Medium Usage,51,,0.92,36,33,4.5,98,Outside USA & Canada
10205575,Active,A.O. SMITH,A.O. SMITH WATER PRODUCTS CO.,E6-36L45DV****,Electric Resistance,Storage,Medium Usage,51,,0.92,36,33,4.5,98,Outside USA & Canada
9854414,Active,LOCHINVAR,"LOCHINVAR, LLC",KSA036KD,Electric Resistance,Storage,Medium Usage,51,,0.92,36,33,4.5,98,Outside USA & Canada
9854412,Active,STATE,STATE WATER HEATERS,"E(N,S)(6,X)-36-DOLS***",Electric Resistance,Storage,Medium Usage,51,,0.92,36,33,4.5,98,Outside USA & Canada
10082521,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PROG29-30U RH63 EC1,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
10082522,Active,RHEEM,"RHEEM SALES COMPANY, INC.",24X30FN1,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
10082523,Active,RHEEM,"RHEEM SALES COMPANY, INC.",PRO+G29-30U RH63 EC1,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
10082524,Active,RHEEM,"RHEEM SALES COMPANY, INC.",XG29T06EN30U0,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
10082525,Active,RICHMOND,"RHEEM SALES COMPANY, INC.",6G30-30FN4,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
10082526,Active,RUUD,"RHEEM SALES COMPANY, INC.",M4-30FN1,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
10082527,Active,RUUD,"RHEEM SALES COMPANY, INC.",PRO+G29-30U RU63 EC1,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
10082528,Active,RUUD,"RHEEM SALES COMPANY, INC.",PROG29-30U RU63 EC1,Natural Gas,Storage,Medium Usage,51,,0.6,29,28,30,77,USA
9950962,Active,BRADFORD WHITE,BRADFORD WHITE CORP.,RE240LN*-*****,Electric Resistance,Storage,Low Usage,45,,0.92,37,34,4.5,98,USA; Canada
10197152,Active,BRADFORD WHITE,BRADFORD WHITE CORP.,RE130L*-*****,Electric Resistance,Storage,Low Usage,42,,0.92,28,26,4.5,98,USA; Canada; Outside USA & Canada
9950961,Active,BRADFORD WHITE,BRADFORD WHITE CORP.,RE230LN*-*****,Electric Resistance,Storage,Low Usage,41,,0.92,28,26,4.5,98,USA; Canada
